item_code,item_description,supplier_name,code
49504300,Stud 92mm X 0.75 Bmt 4300                         ,RONDO,16010
49504350,Stud 92mm X 0.75 Bmt 4350                         ,RONDO,16010
49504400,Stud 92mm X 0.75 Bmt 4400                         ,RONDO,16010
49504500,Stud 92mm 0.75bmt 4500                            ,RONDO,16010
49504800,Stud 92mm X 0.75 Bmt 4800                         ,RONDO,16010
49506000,Stud 92mm X 0.75 Bmt 6000                         ,RONDO,16010
49603000,Track 92mm X 0.70 Bmt 3000                        ,RONDO,16010
49604800,Track 92mm X 0.70 Bmt 4800                        ,RONDO,16010
49703000,Track D/H 64mm X 0.70 Bmt 3000                    ,RONDO,16010
49803000,Track D/H 76mm X 0.70 Bmt 3000                    ,RONDO,16010
49903000,Track D/H 92mm X 0.70 Bmt 3000                    ,RONDO,16010
50102400,Continuous Nogging Bracket 2400                   ,RONDO,16010
503036000450,Nog Track 51mmX70 Bmt (450cts) 3600               ,RONDO,16010
503036000600,Nog Track 51mmX70 Bmt (600cts) 3600               ,RONDO,16010
504036000300,Nog Track 64mmX0.70 Bmt (300cts) 3600             ,RONDO,16010
504036000400,64mm Nogging Track 400 Centres 3600               ,RONDO,16010
504036000450,Nog Track 64mmX0.70 Bmt (450cts) 3600             ,RONDO,16010
504036000600,Nog Track 64mmX0.70 Bmt (600cts) 3600             ,RONDO,16010
505036000300,76mm Nogging Track 300mm Centres 3600             ,RONDO,16010
505036000400,76mm Nogging Track 400mm Centres 3600             ,RONDO,16010
505036000450,Nog Track 76mmX0.70 Bmt (450cts) 3600             ,RONDO,16010
505036000600,Nog Track 76mmX0.70 Bmt (600cts) 3600             ,RONDO,16010
506036000300,Nog Track 92mmX0.70 Bmt (300cts) 3600             ,RONDO,16010
506036000400,92mm Nogging Track 400mm Centres 3600             ,RONDO,16010
506036000450,Nog Track 92mmX0.70 Bmt (450cts) 3600             ,RONDO,16010
506036000600,Nog Track 92mmX0.70 Bmt (600cts) 3600             ,RONDO,16010
507022550675,Nog Track 150mmX.8mm (675cts) 2255                ,RONDO,16010
507036000300,Nog Track 150mmX.8mm (300cts) 3600                ,RONDO,16010
507036000400,Nog Track 150mmX.8mm (400cts) 3600                ,RONDO,16010
507036000450,Nog Track 150mmX.8mm (450cts) 3600                ,RONDO,16010
507036000600,Nog Track 150mmX.8mm (600cts) 3600                ,RONDO,16010
507036000675,Nog Track 150mmX.8mm (675cts) 3000                ,RONDO,16010
51003000,Track D/H 150mm X 0.75 Bmt 3000                   ,RONDO,16010
51102880,150mm (w) x 36mm (h) Steel Stud - 0.75bmt 2880    ,RONDO,16010
51102885,150mm (w) x 36mm (h) Steel Stud - 0.75bmt @ 2885  ,RONDO,16010
51102890,150mm (w) x 36mm (h) Steel Stud - 0.75bmt @ 2890mm,RONDO,16010
51103200,150mm (w) x 36mm (h) Steel Stud - 0.75bmt @ 3200mm,RONDO,16010
51103600,Stud 150mm X 0.75 Bmt 3600                        ,RONDO,16010
51104800,Stud 150mm X 0.75 Bmt 4800                        ,RONDO,16010
51106000,Stud 150mm X 0.75 Bmt 6000                        ,RONDO,16010
51107200,Stud 150mm X 0.75 Bmt 7200                        ,RONDO,16010
53002400,50mm (h) x 30mm (w) Heavy Duty Angle 3000         ,RONDO,16040
534,D.F. Adj. Susp. Rod Clip For Purlins              ,RONDO,16030
535,Top Hat Fixing Cleat 50x35x1.9Bmt                 ,RONDO,16010
545,Bracket L                                         ,RONDO,16010
547,D.F. Adj. Susp. Rod Clip For Concrete             ,RONDO,16030
550,Top Hat Fixing Cleat 50 x 55 x 1.9Bmt             ,RONDO,16010
55203600,Angle 25X25X0.70 Bmt 3600                         ,RONDO,16040
55302440,Angle 35x35x0.70 Bmt 2440                         ,RONDO,16040
55302740,Angle 35x35x0.70 Bmt 2740                         ,RONDO,16040
55303600,Angle 35x35x0.70 Bmt 3600                         ,RONDO,16040
55403000,Angle 50x50x0.70 BMT 3000                         ,RONDO,16010
55403600,Angle 50X50X0.70 Bmt 3600                         ,RONDO,16010
55502400,Angle 75x75x0.75 Bmt 2400                         ,RONDO,16040
55602400,H/D Angle 75x75x1.15 Bmt 2400                     ,RONDO,16040
55702400,H/D Angle 100x100x0.75 Bmt 2400                   ,RONDO,16040
55802400,H/D Angle 100x100x1.15 Bmt 2400                   ,RONDO,16040
55903000,50mm (h) x 50mm (w) Angle - 1.15bmt @ 3000m       ,RONDO,16040
55903600,Speedpanel Angle 50x50x1.15 BMT 3600              ,RONDO,16010
562,Universal Duplex Stud Bracket                     ,RONDO,16010
564,Header Bracket to suit 64mm DUPLEX Stud®          ,RONDO,16030
567,Header Bracket to suit 76mm DUPLEX Stud®          ,RONDO,16030
569,Header Bracket to suit 92mm DUPLEX Stud®          ,RONDO,16030
57003000,Stud 64 Ch 55 (Black)                             ,RONDO,16010
57003100,Stud 64 Ch 55 (Black)                             ,RONDO,16010
57003600,Stud 64 Ch 55 (Black)                             ,RONDO,16010
57203000,Stud 64 Ch 90 ( White)                            ,RONDO,16010
57204500,Stud 64 Ch 90 ( White)                            ,RONDO,16010
57403000,Stud 64 E 55 (Black)                              ,RONDO,16010
57403600,Stud 64 E 55 (Black)                              ,RONDO,16010
57803000,Runner 64 J 80 57x25 (Red)                        ,RONDO,16010
57803600,64x57x25 J Runner Trk suit 570/572/574 .80bmt 3600,RONDO,16010
57903000,Runner 64 Dt 80 75x50 (Red)                       ,RONDO,16010
58103600,Resilient Channel                                 ,RONDO,16010
59003600,Stud 102 Ch 55 (Black) 3600                       ,RONDO,16010
